date,alpha,equity_beta,defensive_beta,real_asset_beta,r_squared,observations,residual_volatility,dominant_factor
2020-01-31,0.0018907303931258333,6.050337258002668e-06,5.6721911793775e-07,3.7814607862516674e-07,-2.220446049250313e-16,20,0.0007082340436087225,equity
2020-02-01,0.001961479659455951,6.276734910259045e-06,5.884438978367853e-07,3.922959318911903e-07,0.0,20,0.0006993852563802977,equity
2020-02-02,0.0020322289257860703,6.503132562515426e-06,6.096686777358211e-07,4.0644578515721413e-07,0.0,20,0.0006827488460936006,equity
2020-02-03,0.00210297819211617,6.729530214771744e-06,6.308934576348508e-07,4.20595638423234e-07,0.0,20,0.0006577341488218207,equity
2020-02-04,0.002173727458446282,6.955927867028105e-06,6.521182375338847e-07,4.3474549168925654e-07,0.0,20,0.0006233333040154138,equity
2020-02-05,0.0022444767247763965,7.182325519284471e-06,6.733430174329189e-07,4.488953449552794e-07,0.0,20,0.0005778724590663544,equity
2020-02-06,0.0023152259911065156,7.408723171540851e-06,6.945677973319546e-07,4.630451982213032e-07,0.0,20,0.0005184503097542093,equity
2020-02-07,0.0022927262244290965,7.33672391817311e-06,6.878178673287288e-07,4.5854524488581937e-07,0.0,20,0.0005786383176316675,equity
2020-02-08,0.002292726224429083,7.336723918173068e-06,6.878178673287249e-07,4.585452448858167e-07,-2.220446049250313e-16,20,0.0005786383176316933,equity
2020-02-09,0.0022927262244290866,7.3367239181730795e-06,6.87817867328726e-07,4.5854524488581747e-07,1.1102230246251565e-16,20,0.0005786383176316863,equity
2020-02-10,0.0022444767247763973,7.182325519284474e-06,6.733430174329192e-07,4.4889534495527963e-07,0.0,20,0.0006332163095948405,equity
2020-02-11,0.002173727458446288,6.955927867028124e-06,6.521182375338865e-07,4.3474549168925776e-07,-2.220446049250313e-16,20,0.0006749597941242748,equity
2020-02-12,0.002102978192116174,6.729530214771757e-06,6.308934576348521e-07,4.2059563842323484e-07,0.0,20,0.000706852549203768,equity
2020-02-13,0.0020804784254387656,6.657530961404051e-06,6.241435276316296e-07,4.160956850877532e-07,0.0,20,0.0006989934492578184,equity
2020-02-14,0.002080478425438773,6.657530961404075e-06,6.241435276316318e-07,4.1609568508775467e-07,-2.220446049250313e-16,20,0.0006989934492578232,equity
2020-02-15,0.00200522920577317,6.416733458474146e-06,6.015687617319511e-07,4.0104584115463413e-07,0.0,20,0.0007262674492876735,equity
2020-02-16,0.0019474798046344624,6.231935374830281e-06,5.842439413903387e-07,3.894959609268926e-07,5.551115123125783e-16,20,0.0007265917191352144,equity
2020-02-17,0.0018897304034957427,6.0471372911863785e-06,5.669191210487229e-07,3.7794608069914866e-07,0.0,20,0.0007220702601038214,equity
2020-02-18,0.0018319810023570348,5.862339207542513e-06,5.495943007071105e-07,3.6639620047140706e-07,-2.220446049250313e-16,20,0.0007126108408706647,equity
2020-02-19,0.001774231601218326,5.677541123898645e-06,5.322694803654979e-07,3.548463202436653e-07,-2.220446049250313e-16,20,0.0006980127336344712,equity
2020-02-20,0.001716482200079616,5.4927430402547725e-06,5.149446600238848e-07,3.432964400159233e-07,-4.440892098500626e-16,20,0.0006779440669368052,equity
2020-02-21,0.0016587327989409043,5.307944956610895e-06,4.976198396822713e-07,3.3174655978818094e-07,0.0,20,0.0006518998046197282,equity
2020-02-22,0.0016009833978021825,5.123146872966985e-06,4.802950193406548e-07,3.201966795604366e-07,0.0,20,0.0006191262944029392,equity
2020-02-23,0.0015432339966634772,4.938348789323128e-06,4.6297019899904317e-07,3.086467993326955e-07,1.1102230246251565e-16,20,0.0005784809395031835,equity
2020-02-24,0.0014854845955247639,4.753550705679245e-06,4.456453786574291e-07,2.970969191049528e-07,0.0,20,0.0005281494505396489,equity
2020-02-25,0.0014277351943860499,4.568752622035361e-06,4.2832055831581494e-07,2.8554703887721005e-07,0.0,20,0.0004649970995948711,equity
2020-02-26,0.0013699857932473346,4.383954538391472e-06,4.109957379742004e-07,2.73997158649467e-07,0.0,20,0.00038272911954463434,equity
2020-02-27,0.0014054854251161575,4.497553360371705e-06,4.2164562753484724e-07,2.810970850232316e-07,0.0,20,0.00034711934850322564,equity
2020-02-28,0.0014184852903075626,4.5391529289842015e-06,4.2554558709226876e-07,2.836970580615126e-07,-2.220446049250313e-16,20,0.000341275085833353,equity
